                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2621,                 6.3175,                 1.7858,                      0,                      0,                      0,                      0,                 4.9566,                 5.2626,                 2.4078,               0.070429,              0.0032857,              0.0032857
                      2,                 3.8055,                 4.7785,                 1.5415,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.040407,              0.0065972,              0.0065972
                      3,                 3.7168,                 4.4623,                 1.4914,                0.00018,                0.00179,                  9e-05,                  3e-05,                 4.0973,                 4.6262,                 3.5257,               0.010363,              0.0098867,              0.0098867
                      4,                 3.6437,                 4.0855,                 1.4571,                0.83898,                0.01971,                 0.0064,                0.00167,                 4.4632,                 5.4154,                 1.5877,               0.009901,               0.009901,               0.009901
                      5,                 3.5009,                 3.7961,                 1.4217,                0.61383,                0.04802,                0.04112,                0.01312,                 4.2457,                 3.7178,                 1.6536,               0.009868,               0.009868,               0.009868
                      6,                 3.3605,                 3.5759,                 1.3567,                0.74022,                0.10793,                0.13859,                0.04406,                 3.5153,                 3.1886,                 1.3733,               0.009835,               0.009835,               0.009835
                      7,                 3.4086,                  3.427,                 1.3806,                0.97496,                0.12007,                0.16918,                0.04979,                   3.24,                 3.6081,                 1.2897,               0.009802,               0.009802,               0.009802
                      8,                 3.3225,                 3.2222,                 1.3611,                0.51217,                0.09593,                0.07258,                0.01777,                 3.9709,                 3.5628,                 1.4757,               0.009769,               0.009769,               0.009769
                      9,                 3.2729,                 3.0443,                 1.3181,                0.32656,                0.19021,                0.18621,                0.06457,                 3.1622,                 2.9338,                 1.2976,               0.009736,               0.009736,               0.009736
                     10,                 3.2622,                 3.1078,                  1.313,                0.25473,                0.24164,                0.22576,                0.07849,                  3.134,                 2.7048,                 1.2754,               0.009703,               0.009703,               0.009703
                     11,                 3.1125,                 2.9246,                 1.2872,                0.42061,                0.24946,                0.24544,                 0.0914,                 3.0359,                 2.6795,                 1.2588,                0.00967,                0.00967,                0.00967
                     12,                 3.0829,                 2.8239,                 1.2829,                0.40091,                0.26505,                0.22084,                0.08294,                 3.1944,                 2.6124,                 1.2699,               0.009637,               0.009637,               0.009637
                     13,                 3.0604,                 2.8151,                 1.2666,                0.31591,                0.26516,                0.24819,                0.08777,                 3.0261,                 2.8369,                 1.2463,               0.009604,               0.009604,               0.009604
                     14,                 3.0364,                 2.6832,                 1.2681,                0.37257,                0.24922,                0.23907,                0.07749,                  3.062,                 2.7854,                 1.3014,               0.009571,               0.009571,               0.009571
                     15,                 3.0528,                 2.6622,                 1.2783,                0.43278,                0.31306,                0.27674,                0.08388,                 2.9826,                 2.5708,                 1.2448,               0.009538,               0.009538,               0.009538
                     16,                 2.9961,                 2.5931,                 1.2626,                0.41227,                0.31366,                0.27488,                0.10401,                 2.8127,                 2.5399,                 1.1903,               0.009505,               0.009505,               0.009505
                     17,                 2.8642,                 2.4929,                 1.2025,                0.54003,                0.36306,                0.32265,                0.11784,                 2.7663,                 2.3236,                 1.1728,               0.009472,               0.009472,               0.009472
                     18,                 2.7956,                 2.3812,                 1.2028,                0.50855,                0.37397,                0.33991,                0.13825,                 2.7049,                 2.1942,                 1.1611,               0.009439,               0.009439,               0.009439
                     19,                 2.7541,                 2.3112,                 1.2061,                   0.39,                0.39356,                0.35895,                0.14303,                 2.6397,                 2.2199,                 1.1447,               0.009406,               0.009406,               0.009406
